serial_numb,date,time,id,display_name,username,content,user_location,file
0,1/27/2022,6:26:38 PM,207846417,𝗕𝗶𝘁𝘆 𝗕𝗼𝗼𝗸𝗲𝗿,BityBooker,"I am so happy right now because my new song ‘Sad Song’ got its first ever radio play on @folkhampton 💜 
My EP ‘Dreaming in the Morning’ is out 5 March 2022 x
https://t.co/3YVopK45UQ","London, England",sad
0,1/28/2022,8:49:38 AM,8.60764E+17,Ripon Ray,YourDoctorDebt,CrimeLdn @Shomrim That's really sad. I am so sorry.,United Kingdom,sad
0,10/1/2021,6:03:48 PM,282985435,Chris Mottau 💙💛,ChrisMottau,"'@StrongbowsPub @Gbior827 @romsanra @PieroTi1971 @SimonVelocity @mrjamesob You keep saying that. And, as I keep pointing out, I am owning it. We're all owning it and working to address the outstanding issues. I couldn't be clearer. It's sad to see you so stuck in that rut barking the same old tired-out insults whether they reflect reality or not.","Peckham, South London",sad
0,10/10/2022, 12:41:30 AM,38358561,nellis,nellis_tweets,I am sad in London,"Illinois, USA",sad
1,10/11/2022, 10:04:30 PM,68394867,N a t a l i e 🇬🇧,NatalieNooNah,People are like “inject this video into my veins” but that’s incredibly disturbing. He could have shot her in a way that restrains her without saying “I will kill you”. She’s a sick woman (and likely mentally deranged) but police shouldn’t b,London,sad
1,10/11/2022, 8:55:53 PM,273473736,Molly Ahmed,MollyAhmed,I am so sad  that #AngelaLansbury has died. Seeing her in #BlitheSpirit was one of the most amazing #theatre experiences I have had. https://t.co/sY6a6WVpLR,London,sad
1,10/12/2022, 7:18:34 PM,1490005436,Jackie D 🦄💟💐🌹,JackieD43016120,"HAPPY GHOST ADVENTURES EVE ALL!
I can't wait for tomorrow night (morning for me). Please please @Zak_Bagans can we have a live chat with you guys like the first two episodes?
I find the buildings look so sad when broaded up. I feel sorry for them, I know I am a silly moo! 🤣🤣🤣 https://t.co/IDnLSi2AYm",South West London,sad
1,10/13/2021, 11:17:05 AM,701121401,max,mlcbby,so sad to have missed the new lav yday but at least I am feeling better !!,Brixton,sad
2,10/13/2022, 10:16:22 PM,1.39976E+18,Bookov 🎃,Nukov_,"ONE WEEK until the #MW2 campaign drops, and I'm super stoked.

I'll be doing a marathon stream, broadcasting the entire campaign from end to end, Thurs. 20th from 6pm UK.

Even got myself a new #CallofDuty t-shirt in celebration, that's how sad I am 

Twitch x Nukov_","London, England",sad
2,10/13/2022, 10:48:34 PM,8.6153E+17,Please Help Me!,PleaseHelpArgh,By the mighty Aphrodite I will remove #BrianMay's runner bean from my Chalfonts if it kills me! Zounds! #Tudor,"London, England",kill
2,10/13/2022, 10:57:59 PM,3187723295,morgs 🤎,morgbrownx,"Most divorces, biggest slag, and most likely to start an only fans?? Why am i  the most likely for these I am so sad.",London,sad
2,10/13/2022, 10:59:27 AM,20906439,Kuba Shand-Baptiste,kubared,vickwilling I am! Sad times. Trading north west for west-west. I'll find convenient excuses to come back every few weeks,"London, UK",sad
3,10/13/2022, 11:04:04 PM,158063309,Anna Lynch 💙,AnnaSLynch,Reflecting on the @theRCN inquiry.What is so sad &amp; distressing is how many more members will come forward now. In addition many painfully realising they have been victims. I hope I am wrong but predict further investigations will reveal decades long history.,"Hackney, London",sad
3,10/13/2022, 11:39:19 AM,103424651,soft life babe 🇯🇲🇦🇬,ZanaMillen,Reaserching for something I’m doing next month and I’m not really in the right place to be doing this but I want to share my cultures history past and present in such a amazing way I am overwhelmed but I am utterly liberated with the things just gluingggggggg,"Hackney, London",overwhelmed
3,10/13/2022, 11:46:13 PM,8.94184E+17,Izzii Grace,izziigrace_hun,Has anyone seen the watcher on netflix?? I haven't finished it but I am overwhelmed,"England, United Kingdom",overwhelmed
3,10/13/2022, 12:26:08 PM,256525950,Matthew Gough,MatthewG_Yoga,"Wait until he finds out the price of therapy! He needs to work harder on that ""look how sad and shocked I am"" face. https://t.co/cmMFvsCh59","London, England",sad
4,10/13/2022, 12:27:13 PM,1.54218E+18,Bonkie •🧝🏻\u200d♀️Vtuber • Sus? •,bonkie_z,"After further questioning of ""wtf am I doing"" I decided to leave twitch as for now for my own mental health. I am not in the place where I could do/say anything positive as all I am is a sad person who just might ruin everyone's mood. 
So long friend.","London, UK",sad
4,10/13/2022, 2:12:56 PM,185608961,richard,RichardMurphyUK,"'@DrStevenJLawson God said
""I created man &amp; woman with original sin
Then I destroyed most of them for sinning
Then I impregnated a married woman, with myself, as her child
Later I will kill myself, as a sacrifice to myself, to save all of you from the original sin I gave you in the first place.""",London UK,kill
4,10/13/2022, 2:14:12 PM,2575389148,joshua,northbankjosh,'@danielogoun7 nah we actually did… you don’t understand how sad i am 😭😭😭,London,sad
4,10/13/2022, 2:25:52 PM,1.04787E+18,🇬🇧𝕯𝖆𝖓𝖙𝖊 🇮🇹,shangri_la121,'@ClareBreedon I am so sorry Clare to hear this wish you strength at this sad time Hugs xx,London,sad
5,10/13/2022, 3:21:31 PM,89966215,Darren,bod699,'@RawFury @flateyegame @MonkeyMoonGames I am both happy  and sad about employee [REDACTED] actions. The demo was great and now I have an extra month to finish other recent titles.,"London, England",sad
5,10/13/2022, 4:04:30 PM,71874266,Archie Woodrow,Archimbaldo,"if the hidden quote tweet on this is somebody not understanding the reference and thinking this is a serious post in my own words, i will probably kill myself in shame","London, England",kill
5,10/13/2022, 4:22:24 PM,286839677,Helen Bonnick,helenbonnick,I am overwhelmed by the interest there has been in these - and by the amazing comments from those who have viewed them! Most thanks go to Vicky Baker for her work in bringing them to life.  #CPV #CAPVA #CPVA https://t.co/DMDh59CQRg,London,overwhelmed
5,10/13/2022, 4:25:11 PM,72612048,Carly,Mummotutu,"Someone stop me from comparing myself ALL THE TIME! I am absolutely killing my confidence. I feel partly inspired by others and partly (mostly) overwhelmed and disappointed in myself
#comparisonisthetheifofjoy",England,overwhelmed
6,10/13/2022, 4:36:43 PM,19439287,Emma Kilburn 📚🖋📷,emmakilburn,'@pressgazette @HadleyFreeman I am very sad you will no longer be writing in @guardian but very best of luck for your new role!,"London, England",sad
6,10/13/2022, 4:44:26 AM,18630006,ukreal1,ukreal1,'@BeatTheCult I like to think the butterfly that flies by me when I am sad is my dads spirit keeping me sane and hopeful but that’s about it,"London, England",sad
6,10/13/2022, 4:56:21 PM,110554946,Oliver Gerrish,archmusicman,'@ClandonParkNT I am sorry - but I think it is such a poor example to set at a time when traditional craftspeople need all the help they can get. This could be another Uppark - yet it will remain a sad stain on the brilliant NT,London,sad
6,10/13/2022, 5:12:26 PM,513984923,• ᴄɪɴᴛʜɪᴀ •,cinthiayoreli_,I go through up and down phases lately where I am stressed and overwhelmed. Then I'm fine and everything is going well. I need to find that happy balance,PNW,overwhelmed
7,10/13/2022, 5:25:39 PM,25548493,Seme🤍,lyndaseme,So sad that it didn’t work out with my therapist…now I am on the hunt for a new one and it’s the ghetto 🥺,"London, England",sad
7,10/13/2022, 6:40:48 PM,29674507,Lavaniya🌻👸🏾,Lavaniya85,'@Claire_SNC @NickyByrne @ShaneFilan @KianEganWL @MarkusFeehily Sorry for delay had a singing lesson just finished. Yes it's gross. I am cynical anyway but soo sad that people believe the bullshit people give them xx,London,sad
7,10/13/2022, 7:38:42 PM,127226239,Dan Twining,GeetawrDan,"I will have some respect on Matt Turner’s name today, people were very quick to kill him last week","London, England",kill
7,10/13/2022, 8:14:49 PM,115213982,gummi venus de melfi,alissysantiago,"'@HayDrWho @EveAndSuki You guys, Suki is under incredible amounts of pressure from all angles. I am sad for Eve but she is still in a way better position than Suki overall","London, England",sad
8,10/13/2022, 8:39:17 AM,8.08387E+17,Digitalimage-editing,digitalpainter1,"Even though I tell you this multiple times a day, I will never get tired of saying it. I love you. You are my other half, and having you in my life feels like home. I love you, now and forever. #love
 #lo... https://t.co/jv0Pf0z4kz https://t.co/oSrbOdN1F7","London, England",tired
8,10/13/2022, 9:00:13 AM,12976982,thisisgrey,thisisgrey,"https://t.co/QEybEaVkvu  — If you have a real shop, hire @SignsbyUmberto. He is the man. I am afraid that with the type of society/economy we live in will see his him hired by corporations... which is sad. But I'm sure Umberto will disagree, corporations pay good money. Life! https://t.co/OdvrC4PnXJ",London,sad
8,10/13/2022, 9:15:01 PM,7786722,Adrian Bradley,adebradley,"I don't know who you are. I don't know what you want... But what I do have are a very particular set of skills, skills I have acquired over a very long career.... I will look for you, I will find you, and I will kill you. https://t.co/w67Wh9YEHM https://t.co/IbPXGo4QUJ","London, England",kill
8,10/13/2022, 9:31:12 PM,7.50067E+17,Noah Sanya,sersanya1,"I get sad that situations did not permit me to get a PVC. I do hope we get it right in February. I am inspired by the level of awareness that is growing in the political space in my country. Still, it does not begin and end with voting, we have to really make things work.","London, England",sad
9,10/14/2021, 4:06:52 PM,82181845,Janet Fyle,consideredview,'@LeylaHussein This is just so horrible. I am really  sad at such a waste of life 💔😢,"London, England",sad
9,10/14/2022, 1:17:24 PM,116923482,Banksider,BanksiderSE1,"'@RachelReevesMP I can’t wait to see your manifesto!
I am sad to say I doubt Keir,
You &amp; Angela will be our saviours! Will you rejoin single market? Sadiq says you should and I agree! @Keir_Starmer @MayorofLondon @AndyBurnhamGM @piersmorgan @Peston @bbclaurak @SamCoatesSky #labour #singlemarket","London, England",sad
9,10/14/2022, 10:11:32 PM,1.55455E+18,Yakki_fanatic,YakkiFanatic,'@clumsyhands_13 Ditto - I am all kind of sad now 😭,"London, England",sad
9,10/14/2022, 10:16:01 PM,1183195844,Charlotte Augst,CharlotteAugst,'@RRowanOlive I am sure it is. But the sad thing is she would do a bad-for-her thing too. For you. They are just such trusting creatures.,London,sad
10,10/14/2022, 10:19:00 AM,36052952,Sean Leahy,seanrleahy,"'@AshDigsFilms @mikejhemsley @ChrisOTDH @FBantor It’ll be mainly that for sure, but I will always go to bat for Kill Your Own.",West Molesey,kill
10,10/14/2022, 10:34:31 PM,1.12943E+18,Save The Tick • #TheTickWillRise,SavetheTick,"THE TICK (to a mind-controlled Lobstercules): I will not fight you!

ARTHUR: Tick, you have to fight back!

THE TICK: I can't, chum.

ARTHUR: She's gonna kill you!

THE TICK: She's the mother of our children!

#TheTick #SaveTheTick #LunaTicks",The City,kill
10,10/14/2022, 10:40:53 AM,55024212,Victoria Moul,victoriamoul,"'@ae_stallings Aha, that's perfect, because they are lifting up their heads *and* making a (very elaborately described) racket. Sad lack of peacocks in the 6me arrondissement so I am very grateful for the insight!","London, England",sad
10,10/14/2022, 11:10:21 PM,1337204604,marc blanc,blancmarc20,"'@AndrejNkv @Samfr ‘When I am sad and weary,
When I think Chris Chope has gone,
When I walk along High Holborn,
I think of you with nothing on’
(Adrian Mitchell)",London,sad
11,10/14/2022, 11:11:57 PM,7.64516E+17,Anna Sylla,annasyllabeauty,It's ok to not feel strong sometimes. It's ok to cry when you're sad or tired. I am not invisible. Just try to do what i need to do everyday and if it's not perfect fuck it. #notastrongblackwoman Just a human being,London UK,sad
11,10/14/2022, 11:13:42 AM,41823451,Jane Maher💙,Maherjane,After 35 years the much loved restaurant in my French village has finally closed.  A 2 person completely traditional operation and a well deserved retirement but so many happy memories.  I’m surprised how sad I am. https://t.co/mKPs0DRD0T,London,sad
11,10/14/2022, 11:20:01 PM,557905045,Joe Hulbert,JoeHulbert,"I just, wow.

Film felt so disconnected from the “trilogy” to me. It almost refused to answer the many questions asked in 2018 and Kills.

There was no atmosphere, no suspense, I am quite sad lol.","Romford, London",sad
11,10/14/2022, 11:28:11 AM,586768498,Mary ✌🏿,MaryxSSS,"All I need to hear - had to reload this one, I am sucker for sad songs. The production, the lyrics… *saves to Spotify library*",London,sad
12,10/14/2022, 11:35:51 AM,2328751695,KTBFFH 96.5%,5Ktbffh,'@darrengrimes_ I am just getting fed up with this now . Call a general election and let Labour in and get this over and done with. We have a proxy Labour government anyway IF she U turns again. We need proper alternative. I think I am now without a party I can vote for . Sad state of affairs.,London,sad
12,10/14/2022, 11:41:31 PM,435279193,Robert,blackwolfski,"'@PaulSmi78490476 @SurreyHeathLDs @AlPinkerton @michaelgove I am so sorry for you. The level of ignorance holds you back. The wrongful judgement makes you seem so shrivelled. Perhaps it was my use of ""gammon"" to describe your behaviour. I can apologise for that. I am not wedded to it. But you seem so hateful &amp; fearful in your tweets. Sad.","London, England",sad
12,10/14/2022, 11:45:08 PM,1.56205E+18,Zander,ZanderOnTwt,"'@jjoop62389789 @Tom8251 people are allowed to have mixed feelings about death. i loved robbie's performances and it's sad, a man has died. doesn't mean i am not allowed to look forward to a world free of people who fundamentally disagree with my very existence.
my nan was racist. had the same epiphany.","London, England",sad
12,10/14/2022, 12:23:49 PM,8.56104E+17,🐼,pandasexpresss,"Another one bites the dust, really tired of people I care for the most disappearing from my life","London, England",tired
13,10/14/2022, 12:26:09 PM,586768498,Mary ✌🏿,MaryxSSS,"About you caught me off guard now I am real sad, that shit is real music. How has he managed to capture my daily mood in 5 mins? That’s some genius shit right there.",London,sad
13,10/14/2022, 12:28:13 AM,4719551987,#casket,killingcaskets,i will kill my own friends by zelly ocho &amp; 16yrold https://t.co/b1nA1ku2iT,"London, United Kingdom",kill
13,10/14/2022, 12:28:15 AM,591932349,Rosie Holt,RosieisaHolt,'@MisterABK hahahahaahahHahaa I am so sad,London,sad
13,10/14/2022, 2:10:56 PM,586431224,Christian Borrman,chrisborrman,"'@tuttonp @davearthur I can’t say I am sad to see the toe clips and leather straps go … especially on the mtb. I could not get on with the extra stack height of the speed plays, and that was even with the “zero stack” NW shoe option. they are def the best of the road designs tho imo, especially float","London, England",sad
14,10/14/2022, 2:22:33 AM,1.09829E+18,Seb,Seb_81_,'@cassandrasbox @RoseNwanderland I am a sad computer nerd. I am also a sperg. I approve this message. /sigh,"London, UK",sad
14,10/14/2022, 2:40:13 PM,20308222,Stephanie,suranie,"What is Truss talking about: “I am sad to see #Kwarteng leave..”  You sacked him Liz, he didn‘t leave !! #TrussOut","London , UK",sad
14,10/14/2022, 3:25:06 PM,2879086246,Salima al Amazighia 🇫🇷 🇩🇿 🇲🇦,salimaalouache1,"'@moongirl345 AlhamduliLLAH 😇
The days I am late, 🥱 or not fully mindful in prayers r sad days. May ALLAH Ta'ala bless &amp; support us 2 always 🐝fully mindful of salâh/namaz &amp; pray beneficially 4 mankind, our beloved Khalifa a.b.a Jamaat, family, friends, dear 1's, even online friends. Ameen🤲","London, England",sad
14,10/14/2022, 4:12:50 AM,222044361,Daniel Mudford,DanielMudford,"I am sad about this, he was so sweet and brilliant in that truly wonderful film. https://t.co/rgeUc7QpXP",Balham,sad
